Title,Release Year,Rating,Genre,Streaming Platform,Runtime,Age Rating,Country,Content Category,URL
Oppenheimer  (2023),2023,8.3,"History, Drama","Apple TV, Bookmyshow, Amazon Video, Hungama Play, Apple TV, Google Play Movies, YouTube, Apple TV, Google Play Movies, YouTube",3h 0min,UA,"United States, United Kingdom",Movie,https://www.justwatch.com/in/movie/oppenheimer
Dune  (2021),2021,8.0,"Action & Adventure, Science-Fiction, Drama","Apple TV, Netflix, Bookmyshow, Amazon Video, Apple TV, Google Play Movies, YouTube, Apple TV, Google Play Movies, YouTube",2h 35min,UA,United States,Movie,https://www.justwatch.com/in/movie/dune-2021
Hanu-Man  (2024),2024,8.3,"Science-Fiction, Fantasy, Action & Adventure, Comedy",Jio Cinema,2h 39min,UA,India,Movie,https://www.justwatch.com/in/movie/hanu-man
Animal  (2023),2023,6.3,"Action & Adventure, Crime, Drama, Mystery & Thriller","Netflix, Bookmyshow",3h 21min,A,India,Movie,https://www.justwatch.com/in/movie/animal-2022
Poor Things  (2023),2023,8.0,"Comedy, Drama, Romance, Science-Fiction","Apple TV, Hotstar, Apple TV, Google Play Movies, YouTube, Apple TV, Google Play Movies, YouTube",2h 21min,A,"United States, Ireland, United Kingdom",Movie,https://www.justwatch.com/in/movie/poor-things
Salaar  (2023),2023,6.5,"Crime, Drama, Mystery & Thriller, Action & Adventure","Netflix, Bookmyshow",2h 55min,A,India,Movie,https://www.justwatch.com/in/movie/salaar
12th Fail  (2023),2023,9.0,Drama,"Hotstar, Bookmyshow",2h 27min,NaN,India,Movie,https://www.justwatch.com/in/movie/12th-fail
Anyone But You  (2023),2023,6.2,"Comedy, Romance","Apple TV, Bookmyshow, Amazon Video, Apple TV, Google Play Movies, YouTube, Apple TV, Google Play Movies, YouTube",1h 43min,NaN,"Australia, United States",Movie,https://www.justwatch.com/in/movie/anyone-but-you
The Kerala Story  (2023),2023,7.0,Drama,Zee5,2h 18min,A,India,Movie,https://www.justwatch.com/in/movie/the-kerala-story
Dunki  (2023),2023,6.7,"Comedy, Drama","Netflix, Bookmyshow",2h 40min,NaN,India,Movie,https://www.justwatch.com/in/movie/dunki
Eagle  (2024),2024,6.7,"Action & Adventure, Mystery & Thriller",Amazon Prime Video,2h 39min,UA,India,Movie,https://www.justwatch.com/in/movie/eagle-2024
Sam Bahadur  (2023),2023,7.8,"Drama, War & Military, History","Zee5, Bookmyshow",2h 30min,UA,India,Movie,https://www.justwatch.com/in/movie/sam-bahadur
Article 370  (2024),2024,8.5,"Action & Adventure, Drama, Mystery & Thriller",,2h 38min,UA,India,Movie,https://www.justwatch.com/in/movie/article-370
Merry Christmas  (2024),2024,7.2,"Mystery & Thriller, Drama",Netflix,2h 23min,NaN,India,Movie,https://www.justwatch.com/in/movie/merry-christmas-2024
Teri Baaton Mein Aisa Uljha Jiya  (2024),2024,7.0,"Comedy, Drama, Romance, Science-Fiction",Bookmyshow,2h 21min,NaN,India,Movie,https://www.justwatch.com/in/movie/untitled-shahid-kapoor-kriti-sanon-film
Bramayugam  (2024),2024,8.2,"Horror, Mystery & Thriller","Sony Liv, Bookmyshow",2h 19min,UA,India,Movie,https://www.justwatch.com/in/movie/bramayugam
Captain Miller  (2024),2024,6.6,"Mystery & Thriller, Action & Adventure, Drama, War & Military","Amazon Prime Video, Sun Nxt, Amazon Video",2h 37min,UA,India,Movie,https://www.justwatch.com/in/movie/captain-miller
Fighter  (2024),2024,6.9,"Action & Adventure, Mystery & Thriller, War & Military",,2h 47min,UA,India,Movie,https://www.justwatch.com/in/movie/fighter-2022
Anweshippin Kandethum  (2024),2024,7.6,"Crime, Drama, Mystery & Thriller","Netflix, Bookmyshow",2h 22min,NaN,India,Movie,https://www.justwatch.com/in/movie/anweshippin-kandethum
Manjummel Boys  (2024),2024,8.7,"Mystery & Thriller, Drama, Action & Adventure",Bookmyshow,2h 15min,UA,India,Movie,https://www.justwatch.com/in/movie/manjummel-boys
Guntur Kaaram  (2024),2024,5.4,"Action & Adventure, Drama","Netflix, Bookmyshow",2h 39min,UA,India,Movie,https://www.justwatch.com/in/movie/ssmb-28
Dune: Part Two  (2024),2024,8.9,"Science-Fiction, Action & Adventure, Drama",Bookmyshow,2h 47min,NaN,United States,Movie,https://www.justwatch.com/in/movie/dune-part-two
Anatomy of a Fall  (2023),2023,7.8,"Mystery & Thriller, Crime, Drama",Bookmyshow,2h 32min,NaN,France,Movie,https://www.justwatch.com/in/movie/anatomie-dune-chute
Aquaman and the Lost Kingdom  (2023),2023,5.6,"Action & Adventure, Fantasy, Science-Fiction","Apple TV, Bookmyshow, Amazon Video, Apple TV, Google Play Movies, YouTube, Apple TV, Google Play Movies, YouTube",2h 4min,NaN,United States,Movie,https://www.justwatch.com/in/movie/aquaman-and-the-lost-kingdom
Ayalaan  (2024),2024,6.0,"Science-Fiction, Action & Adventure",Sun Nxt,2h 35min,NaN,India,Movie,https://www.justwatch.com/in/movie/ayalaan
Code 8  (2019),2019,6.1,"Science-Fiction, Action & Adventure, Crime, Mystery & Thriller, Drama",Amazon Prime Video,1h 39min,A,"Canada, United Kingdom, United States",Movie,https://www.justwatch.com/in/movie/code-8
Laapataa Ladies  (2024),2024,8.4,"Comedy, Drama",Bookmyshow,2h 2min,NaN,India,Movie,https://www.justwatch.com/in/movie/laapataa-ladies
American Fiction  (2023),2023,7.6,"Comedy, Drama",Amazon Prime Video,1h 57min,NaN,United States,Movie,https://www.justwatch.com/in/movie/untitled-cord-jefferson-film
Damsel  (2024),2024,6.2,"Fantasy, Action & Adventure",Netflix,1h 50min,NaN,United States,Movie,https://www.justwatch.com/in/movie/damsel-2023
