Title,Release Year,Rating,Genre,Streaming Platform,Runtime,Age Rating,Country,Content Category,URL
Rocky Aur Rani Kii Prem Kahaani  (2023),2023,6.5,"Comedy, Drama, Kids & Family, Romance","Amazon Prime Video, Bookmyshow, Amazon Video",2h 48min,NaN,India,Movie,https://www.justwatch.com/in/movie/rocky-aur-rani-ki-prem-kahani
Shōgun  (2024),2024,9.2,"Drama, War & Military, History",Hotstar,58min,NaN,United States,Television,https://www.justwatch.com/in/tv-show/shogun-2024
Panchayat  (2020),2020,8.9,"Drama, Comedy",Amazon Prime Video,33min,NaN,India,Television,https://www.justwatch.com/in/tv-show/panchayat
Mirzapur  (2018),2018,8.5,"Crime, Action & Adventure, Drama, Mystery & Thriller",Amazon Prime Video,50min,NaN,India,Television,https://www.justwatch.com/in/tv-show/mirzapur
Game of Thrones  (2011),2011,9.2,"Science-Fiction, Drama, Action & Adventure, Fantasy",Jio Cinema,59min,U,United States,Television,https://www.justwatch.com/in/tv-show/game-of-thrones
Avatar: The Last Airbender  (2024),2024,7.3,"Science-Fiction, Action & Adventure, Comedy, Drama, Kids & Family, Fantasy",Netflix,54min,NaN,United States,Television,https://www.justwatch.com/in/tv-show/avatar-the-last-airbender
Sunflower  (2021),2021,7.5,"Comedy, Crime",VI movies and tv,37min,A,India,Television,https://www.justwatch.com/in/tv-show/sunflower-2021
Maharani  (2021),2021,7.9,Drama,"Sony Liv, VI movies and tv",44min,UA,India,Television,https://www.justwatch.com/in/tv-show/maharani-2021
Solo Leveling  (2024),2024,8.5,"Animation, Action & Adventure, Fantasy, Science-Fiction","Crunchyroll, Crunchyroll",24min,NaN,"South Korea, Japan",Television,https://www.justwatch.com/in/tv-show/solo-leveling-2024
Maamla Legal Hai  (2024),2024,8.2,"Drama, Comedy",Netflix,32min,NaN,India,Television,https://www.justwatch.com/in/tv-show/maamla-legal-hai
Poacher  (2023),2023,7.7,"Drama, Crime",Amazon Prime Video,47min,NaN,"United States, India",Television,https://www.justwatch.com/in/tv-show/poacher
The Gentlemen  (2024),2024,8.3,"Crime, Action & Adventure, Comedy, Drama",Netflix,50min,A,"United Kingdom, United States",Television,https://www.justwatch.com/in/tv-show/the-gentlemen
True Detective  (2014),2014,8.9,"Drama, Mystery & Thriller, Crime",Jio Cinema,1h 1min,U,United States,Television,https://www.justwatch.com/in/tv-show/true-detective
Young Sheldon  (2017),2017,7.6,"Comedy, Kids & Family","Amazon Prime Video, Netflix",19min,U,United States,Television,https://www.justwatch.com/in/tv-show/young-sheldon
Jujutsu Kaisen  (2020),2020,8.6,"Action & Adventure, Fantasy, Mystery & Thriller, Animation, Science-Fiction","Crunchyroll, Netflix, Crunchyroll",23min,NaN,"Japan, United States",Television,https://www.justwatch.com/in/tv-show/jujutsu-kaisen
Aarya  (2020),2020,7.9,"Crime, Drama, Mystery & Thriller, Action & Adventure",Hotstar,46min,NaN,India,Television,https://www.justwatch.com/in/tv-show/aarya
Mastram  (2020),2020,7.1,"Drama, Comedy, Fantasy",,28min,NaN,India,Television,https://www.justwatch.com/in/tv-show/mastram
Farzi  (2023),2023,8.4,"Crime, Drama, Mystery & Thriller",Amazon Prime Video,56min,NaN,India,Television,https://www.justwatch.com/in/tv-show/farzi
Avatar: The Last Airbender  (2005),2005,9.3,"Action & Adventure, Science-Fiction, Kids & Family, Fantasy, Animation",,24min,U,United States,Television,https://www.justwatch.com/in/tv-show/avatar-the-last-airbender-2005
One Day  (2024),2024,8.2,"Drama, Romance, Comedy",Netflix,29min,A,United Kingdom,Television,https://www.justwatch.com/in/tv-show/one-day
Death and Other Details  (2024),2024,6.8,"Mystery & Thriller, Drama, Crime",Hotstar,45min,NaN,United States,Television,https://www.justwatch.com/in/tv-show/death-and-other-details
Halo  (2022),2022,7.3,"Action & Adventure, Science-Fiction, Mystery & Thriller, War & Military",Jio Cinema,52min,NaN,United States,Television,https://www.justwatch.com/in/tv-show/halo
Supersex  (2024),2024,6.2,"Drama, History",Netflix,50min,NaN,Italy,Television,https://www.justwatch.com/in/tv-show/supersex
Yellowstone  (2018),2018,8.7,"Drama, Western",Netflix,50min,NaN,United States,Television,https://www.justwatch.com/in/tv-show/yellowstone
Criminal Justice  (2019),2019,8.1,"Drama, Mystery & Thriller, Crime",Hotstar,50min,NaN,India,Television,https://www.justwatch.com/in/tv-show/criminal-justice-2019
Reacher  (2022),2022,8.1,"Drama, Mystery & Thriller, Action & Adventure, Crime",Amazon Prime Video,48min,A,United States,Television,https://www.justwatch.com/in/tv-show/jack-reacher
Indian Police Force  (2024),2024,5.1,"Action & Adventure, Crime",Amazon Prime Video,38min,A,India,Television,https://www.justwatch.com/in/tv-show/indian-police-force
Euphoria  (2019),2019,8.3,Drama,Jio Cinema,58min,A,United States,Television,https://www.justwatch.com/in/tv-show/euphoria
Loki  (2021),2021,8.2,"Fantasy, Science-Fiction, Action & Adventure, Drama",Hotstar,49min,NaN,United States,Television,https://www.justwatch.com/in/tv-show/loki
The Indrani Mukerjea Story: Buried Truth  (2024),2024,6.3,"Crime, Documentary",Netflix,46min,NaN,India,Television,https://www.justwatch.com/in/tv-show/the-indrani-mukerjea-story-buried-truth
The Rookie  (2018),2018,8.0,"Drama, Comedy, Action & Adventure, Crime",,43min,NaN,United States,Television,https://www.justwatch.com/in/tv-show/the-rookie
The Family Man  (2019),2019,8.7,"Comedy, Drama, Action & Adventure",Amazon Prime Video,45min,NaN,India,Television,https://www.justwatch.com/in/tv-show/the-family-man
Scam 1992  (2020),2020,9.3,"Crime, Drama, Mystery & Thriller",Sony Liv,52min,NaN,India,Television,https://www.justwatch.com/in/tv-show/scam-1992
Money Heist  (2017),2017,8.2,"Drama, Mystery & Thriller, Action & Adventure, Crime, Made in Europe",Netflix,50min,NaN,Spain,Television,https://www.justwatch.com/in/tv-show/paperhouse
Lucifer  (2016),2016,8.1,"Crime, Science-Fiction, Drama, Fantasy",Netflix,47min,U,United States,Television,https://www.justwatch.com/in/tv-show/lucifer
Apharan  (2018),2018,8.3,"Drama, Action & Adventure, Crime, Mystery & Thriller","Jio Cinema, Alt Balaji",24min,NaN,India,Television,https://www.justwatch.com/in/tv-show/apharan
Gullak  (2019),2019,9.1,"Kids & Family, Comedy, Drama",Sony Liv,29min,NaN,India,Television,https://www.justwatch.com/in/tv-show/gullak
Gandii Baat  (2018),2018,3.4,"Crime, Drama, Mystery & Thriller",Alt Balaji,44min,A,India,Television,https://www.justwatch.com/in/tv-show/gandii-baat
Breaking Bad  (2008),2008,9.5,"Drama, Crime, Mystery & Thriller",Netflix,47min,U,United States,Television,https://www.justwatch.com/in/tv-show/breaking-bad
Demon Slayer: Kimetsu no Yaiba  (2019),2019,8.7,"Mystery & Thriller, Animation, Action & Adventure, Fantasy, Science-Fiction","Crunchyroll, Netflix, Crunchyroll",26min,NaN,Japan,Television,https://www.justwatch.com/in/tv-show/demon-slayer-kimetsu-no-yaiba
Naruto  (2002),2002,8.4,"Animation, Action & Adventure, Science-Fiction, Comedy, Fantasy","Netflix, Amazon Prime Video",23min,NaN,Japan,Television,https://www.justwatch.com/in/tv-show/naruto
Masters of the Air  (2024),2024,7.9,"War & Military, Drama, Action & Adventure, Mystery & Thriller","Apple TV Plus, Apple TV Plus",56min,A,United States,Television,https://www.justwatch.com/in/tv-show/masters-of-the-air
The Great Indian Murder  (2022),2022,6.8,"Crime, Mystery & Thriller",Hotstar,45min,NaN,India,Television,https://www.justwatch.com/in/tv-show/the-great-indian-murder
Naruto Shippūden  (2007),2007,8.7,"Animation, Action & Adventure, Science-Fiction, Comedy, Drama, Fantasy","Crunchyroll, Netflix, Crunchyroll",24min,U,Japan,Television,https://www.justwatch.com/in/tv-show/naruto-shippuden
Aashram  (2020),2020,7.4,"Crime, Drama, Mystery & Thriller",MX Player,43min,NaN,India,Television,https://www.justwatch.com/in/tv-show/aashram
House of the Dragon  (2022),2022,8.4,"Science-Fiction, Drama, Action & Adventure, Fantasy, Romance",Jio Cinema,1h 2min,A,United States,Television,https://www.justwatch.com/in/tv-show/house-of-the-dragon
Mashle: Magic and Muscles  (2023),2023,7.6,"Action & Adventure, Comedy, Fantasy, Animation, Science-Fiction","Crunchyroll, Crunchyroll",23min,NaN,"Iraq, Algeria, Egypt, Indonesia, Lebanon, WEBAPP_COUNTRY_UZ, Japan, Iran, Libya, WEBAPP_COUNTRY_GA, WEBAPP_COUNTRY_AF, Saudi Arabia, Mali, Oman, Morocco, Yemen, Kuwait, WEBAPP_COUNTRY_GM, WEBAPP_COUNTRY_KG, WEBAPP_COUNTRY_MR, Mozambique, Azerbaijan, Qatar, WEBAPP_COUNTRY_BI, WEBAPP_COUNTRY_TM, WEBAPP_COUNTRY_TJ, Burkina Faso, Malaysia, WEBAPP_COUNTRY_SD, Tunisia, WEBAPP_COUNTRY_KZ, Syria, WEBAPP_COUNTRY_BJ, WEBAPP_COUNTRY_BD, Jordan, Albania, Bahrain, WEBAPP_COUNTRY_DJ, United Arab Emirates, United States, WEBAPP_COUNTRY_GN, Pakistan, Turkey, WEBAPP_COUNTRY_MV",Television,https://www.justwatch.com/in/tv-show/mashle-magic-and-muscles
P.I. Meena  (2023),2023,6.1,"Crime, Mystery & Thriller",Amazon Prime Video,39min,A,India,Television,https://www.justwatch.com/in/tv-show/p-i-meena
Bigg Boss  (2006),2006,3.7,"Reality TV, Kids & Family",,1h 15min,NaN,India,Television,https://www.justwatch.com/in/tv-show/bigg-boss
Dark Desire  (2020),2020,6.5,"Mystery & Thriller, Drama",Netflix,34min,NaN,Mexico,Television,https://www.justwatch.com/in/tv-show/dark-desire
The Bear  (2022),2022,8.6,"Comedy, Drama",Hotstar,34min,NaN,United States,Television,https://www.justwatch.com/in/tv-show/the-bear
Modern Family  (2009),2009,8.5,"Comedy, Drama, Romance",Hotstar,21min,NaN,United States,Television,https://www.justwatch.com/in/tv-show/modern-family
Peaky Blinders  (2013),2013,8.8,"Drama, Crime",Netflix,58min,A,United Kingdom,Television,https://www.justwatch.com/in/tv-show/peaky-blinders
The Last of Us  (2023),2023,8.7,"Drama, Horror, Science-Fiction, Mystery & Thriller, Action & Adventure",Jio Cinema,58min,A,United States,Television,https://www.justwatch.com/in/tv-show/the-last-of-us
The Vampire Diaries  (2009),2009,7.7,"Science-Fiction, Romance, Mystery & Thriller, Drama, Fantasy, Horror","Netflix, Amazon Prime Video",42min,U,United States,Television,https://www.justwatch.com/in/tv-show/the-vampire-diaries
Young Royals  (2021),2021,8.3,"Drama, Romance",Netflix,46min,NaN,Sweden,Television,https://www.justwatch.com/in/tv-show/young-royals
9-1-1  (2018),2018,7.9,"Mystery & Thriller, Action & Adventure, Drama, Crime",Hotstar,43min,NaN,United States,Television,https://www.justwatch.com/in/tv-show/9-1-1
Saving the Tigers  (2023),2023,8.0,"Comedy, Drama, Mystery & Thriller",Hotstar,27min,NaN,India,Television,https://www.justwatch.com/in/tv-show/save-the-tigers
Scorpion  (2014),2014,7.0,"Action & Adventure, Drama, Crime, Mystery & Thriller",,42min,U,United States,Television,https://www.justwatch.com/in/tv-show/scorpion
Invincible  (2021),2021,8.7,"Science-Fiction, Action & Adventure, Drama, Fantasy, Mystery & Thriller, Animation",Amazon Prime Video,48min,NaN,United States,Television,https://www.justwatch.com/in/tv-show/invincible
Turning Point: The Bomb and the Cold War  (2024),2024,8.0,Documentary,Netflix,1h 9min,NaN,United States,Television,https://www.justwatch.com/in/tv-show/turning-point-the-bomb-and-the-cold-war
One-Punch Man  (2015),2015,8.7,"Action & Adventure, Animation, Comedy, Kids & Family, Fantasy, Science-Fiction","Crunchyroll, Netflix, Amazon Prime Video, Crunchyroll",24min,NaN,Japan,Television,https://www.justwatch.com/in/tv-show/one-punch-man
Constellation  (2024),2024,7.0,"Drama, Science-Fiction, Mystery & Thriller","Apple TV Plus, Apple TV Plus",53min,A,"France, Germany, United Kingdom",Television,https://www.justwatch.com/in/tv-show/constellation
Mayor of Kingstown  (2021),2021,8.2,"Drama, Crime, Mystery & Thriller",Amazon Prime Video,47min,NaN,United States,Television,https://www.justwatch.com/in/tv-show/mayor-of-kingstown
Superman & Lois  (2021),2021,7.8,"Drama, Science-Fiction, Action & Adventure",Amazon Prime Video,42min,NaN,United States,Television,https://www.justwatch.com/in/tv-show/superman-and-lois
Mr. & Mrs. Smith  (2024),2024,7.0,"Drama, Comedy, Action & Adventure, Crime, Mystery & Thriller",Amazon Prime Video,49min,NaN,United States,Television,https://www.justwatch.com/in/tv-show/mr-and-mrs-smith
Stranger Things  (2016),2016,8.7,"Drama, Science-Fiction, Mystery & Thriller, Fantasy, Horror",Netflix,1h 1min,NaN,United States,Television,https://www.justwatch.com/in/tv-show/stranger-things
Spartacus  (2010),2010,8.5,"Drama, Romance, Action & Adventure","Lionsgate Play, Lionsgate Play Apple TV Channel, Lionsgate Play Amazon Channel",54min,NaN,United States,Television,https://www.justwatch.com/in/tv-show/spartacus
The Twelve  (2019),2019,7.4,"Mystery & Thriller, Drama","Netflix, Amazon Prime Video",54min,NaN,Belgium,Television,https://www.justwatch.com/in/tv-show/the-twelve
The Signal  (2024),2024,5.9,"Drama, Science-Fiction, Mystery & Thriller",Netflix,1h 2min,A,Germany,Television,https://www.justwatch.com/in/tv-show/the-signal
Tokyo Vice  (2022),2022,8.0,"Crime, Drama, Mystery & Thriller","Lionsgate Play, Lionsgate Play Apple TV Channel, Lionsgate Play Amazon Channel",58min,A,United States,Television,https://www.justwatch.com/in/tv-show/tokyo-vice
Under the Dome  (2013),2013,6.5,"Drama, Mystery & Thriller, Science-Fiction",Amazon Prime Video,43min,NaN,United States,Television,https://www.justwatch.com/in/tv-show/under-the-dome
Succession  (2018),2018,8.8,"Comedy, Drama",Jio Cinema,1h 4min,U,United States,Television,https://www.justwatch.com/in/tv-show/succession
Fargo  (2014),2014,8.9,"Crime, Drama, Mystery & Thriller",,52min,NaN,United States,Television,https://www.justwatch.com/in/tv-show/fargo
Person of Interest  (2011),2011,8.5,"Science-Fiction, Drama, Action & Adventure, Crime, Mystery & Thriller",,44min,U,United States,Television,https://www.justwatch.com/in/tv-show/person-of-interest
She  (2020),2020,6.4,"Drama, Crime",Netflix,41min,NaN,India,Television,https://www.justwatch.com/in/tv-show/she
Asur: Welcome to Your Dark Side  (2020),2020,8.5,"Mystery & Thriller, Crime, Drama",Jio Cinema,47min,NaN,India,Television,https://www.justwatch.com/in/tv-show/asur
The Good Doctor  (2017),2017,8.0,Drama,"Netflix, Sony Liv",43min,U,United States,Television,https://www.justwatch.com/in/tv-show/the-good-doctor
The Railway Men - The Untold Story of Bhopal 1984  (2023),2023,8.5,"Drama, History, Mystery & Thriller",Netflix,59min,NaN,India,Television,https://www.justwatch.com/in/tv-show/the-railway-men-the-untold-story-of-bhopal-1984
The Walking Dead  (2010),2010,8.1,"Action & Adventure, Drama, Science-Fiction, Horror, Mystery & Thriller",Netflix,46min,U,United States,Television,https://www.justwatch.com/in/tv-show/the-walking-dead
The Freelancer  (2023),2023,8.1,"Mystery & Thriller, Action & Adventure, Drama",Hotstar,50min,NaN,India,Television,https://www.justwatch.com/in/tv-show/the-freelancer
Flames  (2018),2018,8.9,"Comedy, Drama, Romance, Made in Europe",Amazon Prime Video,31min,NaN,India,Television,https://www.justwatch.com/in/tv-show/flames
The Flash  (2014),2014,7.5,"Science-Fiction, Action & Adventure, Drama",,42min,NaN,United States,Television,https://www.justwatch.com/in/tv-show/the-flash
Shaitan  (2023),2023,6.4,"Mystery & Thriller, Action & Adventure, Crime, Drama",Hotstar,28min,A,India,Television,https://www.justwatch.com/in/tv-show/shaitan
ONE PIECE  (2023),2023,8.3,"Action & Adventure, Science-Fiction, Comedy, Drama, Fantasy",Netflix,56min,NaN,United States,Television,https://www.justwatch.com/in/tv-show/one-piece-2023
Scam 2003: The Telgi Story  (2023),2023,NaN,"Drama, Crime",Sony Liv,44min,NaN,India,Television,https://www.justwatch.com/in/tv-show/scam-2003-the-telgi-story
A Killer Paradox  (2024),2024,7.2,"Comedy, Crime, Mystery & Thriller",Netflix,53min,NaN,South Korea,Television,https://www.justwatch.com/in/tv-show/a-killer-paradox
College Romance  (2018),2018,8.3,"Drama, Comedy, Romance",Sony Liv,31min,A,India,Television,https://www.justwatch.com/in/tv-show/college-romance
Shameless  (2011),2011,8.5,"Drama, Comedy",Netflix,55min,U,United States,Television,https://www.justwatch.com/in/tv-show/shameless
Tadap  (2019),2019,5.8,"Drama, Romance","Jio Cinema, MX Player",29min,NaN,India,Television,https://www.justwatch.com/in/tv-show/tadap
Attack on Titan  (2013),2013,9.0,"Action & Adventure, Drama, Fantasy, Horror, Animation, Science-Fiction",,25min,UA,Japan,Television,https://www.justwatch.com/in/tv-show/attack-on-titan
Raisinghani vs Raisinghani  (2024),2024,6.4,Drama,Sony Liv,32min,NaN,India,Television,https://www.justwatch.com/in/tv-show/raisinghani-vs-raisinghani
Aspirants  (2021),2021,9.2,Drama,"Amazon Prime Video, Amazon miniTV",44min,NaN,India,Television,https://www.justwatch.com/in/tv-show/aspirants
The Night Manager  (2016),2016,8.0,"Drama, Mystery & Thriller, Crime, Made in Europe",Hotstar,1h 0min,A,United Kingdom,Television,https://www.justwatch.com/in/tv-show/the-night-manager
Monarch: Legacy of Monsters  (2023),2023,7.0,"Drama, Science-Fiction, Action & Adventure","Apple TV Plus, Apple TV Plus",46min,NaN,United States,Television,https://www.justwatch.com/in/tv-show/monarch-legacy-of-monsters
Kaisi Yeh Yaariyan  (2014),2014,8.0,Drama,Jio Cinema,21min,NaN,India,Television,https://www.justwatch.com/in/tv-show/kaisi-yeh-yaariaan
Star Wars: The Bad Batch  (2021),2021,7.8,"Animation, Action & Adventure, Science-Fiction, Drama, Fantasy",Hotstar,27min,NaN,United States,Television,https://www.justwatch.com/in/tv-show/the-bad-batch
Dehati Ladke  (2023),2023,7.1,Drama,Amazon miniTV,24min,NaN,India,Television,https://www.justwatch.com/in/tv-show/dehati-ladke
Jab Mila Tu  (2024),2024,7.8,"Romance, Drama",Jio Cinema,25min,NaN,India,Television,https://www.justwatch.com/in/tv-show/jab-mila-tu
The Legend of Hanuman  (2021),2021,9.1,"Animation, Action & Adventure, Fantasy",Hotstar,21min,NaN,India,Television,https://www.justwatch.com/in/tv-show/the-legend-of-hanuman
House of Ninjas  (2024),2024,7.2,"Action & Adventure, Drama, Mystery & Thriller",Netflix,53min,NaN,Japan,Television,https://www.justwatch.com/in/tv-show/house-of-ninjas
